dataset,Delta,bx,by,RMSE,MAE,Huber,points
附件1,-198.1317014517301,-0.0007686713612007345,0.0033032671688664195,0.01870223831781174,0.018449917616528262,0.0001748868590481129,7001
附件1,-198.0817014517301,-0.0009092566177302253,0.003859668583229725,0.021820443894076523,0.02152512260189986,0.00023806588586727077,7001
附件1,-198.0317014517301,-0.0010358395373386564,0.004393644252961182,0.024936243520224794,0.024600402962676474,0.0003109081204499765,7000
附件1,-197.98170145173012,-0.0011534395974831524,0.004942827880076883,0.028053108959800614,0.027675768362129004,0.0003934884611552228,7000
附件1,-197.9317014517301,-0.0012811219809671925,0.005482471657980881,0.03116948356981142,0.030751076160703744,0.0004857683530043721,6999
附件1,-197.8817014517301,-0.0014288346345030511,0.006018341006885919,0.03428648976163483,0.03382667695723027,0.0005877816900873448,6999
附件1,-197.8317014517301,-0.0015537500109621405,0.006574304611207449,0.03740414716465779,0.03690191848646651,0.0006995351125576889,6998
附件1,-197.7817014517301,-0.0016660749567048994,0.007131002009826304,0.04052161611021818,0.039977439067842985,0.0008210006860919467,6998
附件1,-197.73170145173012,-0.0017935734819243265,0.007653477075538984,0.04363672818321614,0.043053020273564224,0.0009520820232679451,6997
附件1,-197.6817014517301,-0.001948413532700144,0.008203778308589094,0.0467553513739847,0.046128719436761965,0.0010930314410523864,6997
附件1,-197.6317014517301,-0.0020716470648358687,0.008741693923738192,0.049871614843041624,0.0492042364916337,0.0012435889835263447,6996
附件1,-197.5817014517301,-0.00217870364304662,0.009286308950770816,0.05298808899235011,0.052280057645221714,0.0014038687875306073,6996
附件1,-197.5317014517301,-0.0023060261817393624,0.009821600044708667,0.0561043517511049,0.05535565732625591,0.0015738491427058534,6995
附件1,-197.48170145173012,-0.0024679936091454024,0.010362724985466087,0.059222677807608995,0.0584316371780005,0.0017536627833519315,6995
附件1,-197.4317014517301,-0.0025895262412816145,0.010891244916961196,0.06233823766506809,0.06150734689987633,0.0019430279375932567,6994
附件1,-197.3817014517301,-0.002691323605110374,0.01142850415901292,0.0654540923919567,0.06458341908505688,0.0021421191054274012,6994
附件1,-197.3317014517301,-0.002818480447457805,0.01196124652038133,0.06857025398338251,0.06765914993930522,0.0023509398656727924,6993
附件1,-197.2817014517301,-0.0029875752100387842,0.012537308195920138,0.0716918124300334,0.07073503661422174,0.0025698579847515464,6993
附件1,-197.23170145173012,-0.0031073830552768023,0.013034668954893691,0.07480491273206918,0.07381110520088066,0.0027978874844262432,6992
附件1,-197.1817014517301,-0.003203932790364239,0.013576800431597924,0.07792111481213336,0.07688731419066232,0.003035850066782834,6992
附件1,-197.1317014517301,-0.0033309366157179277,0.01411613903809894,0.08103789315906323,0.0799630884424242,0.003283570063829874,6991
附件1,-197.0817014517301,-0.003507158624368678,0.014623219912877294,0.08415435726692037,0.08303972857749797,0.0035409779235042365,6991
附件1,-197.0317014517301,-0.0036252130454097475,0.015161445899233406,0.08727075374051138,0.08611555045005603,0.003808092229218491,6990
附件1,-196.98170145173012,-0.0037165291407492695,0.015717011811830828,0.09038796940497373,0.08919181165841132,0.004084992506577233,6990
附件1,-196.9317014517301,-0.0038433950308216502,0.01621160087346918,0.09350126763655355,0.09226804626940147,0.004371243524821208,6989
附件1,-196.8817014517301,-0.0040267441904831,0.0167775048474752,0.0966228193433279,0.09534436326665464,0.004667984608926691,6989
附件1,-196.8317014517301,-0.004143011739566216,0.017288429929800564,0.09973705671216236,0.09842049304085676,0.004973740240802546,6988
附件1,-196.7817014517301,-0.004229110615189824,0.01783463281165526,0.10285345734645707,0.10149698395228689,0.005289416844059732,6988
附件1,-196.73170145173012,-0.004355856048344542,0.018350877452919967,0.10596854594550133,0.10457311074143215,0.005614666364901912,6987
附件1,-196.6817014517301,-0.004546332216295745,0.018858329656639805,0.1090858632524708,0.10765007895744517,0.00594986278076838,6987
附件1,-196.6317014517301,-0.0046607746602451705,0.019394922001778947,0.11220213217345366,0.11072605839374915,0.0062946592321345834,6986
附件1,-196.5817014517301,-0.004741675144786073,0.01992788303832138,0.11531740369776537,0.113802799523629,0.006649051797796695,6986
附件1,-196.5317014517301,-0.004868320004684179,0.020428834190854728,0.118431348025521,0.11687911884144318,0.007012992097571038,6985
附件1,-196.48170145173012,-0.005065923017353313,0.021003097477621857,0.12155432661404789,0.11995566779594775,0.007387727159297315,6985
附件1,-196.4317014517301,-0.005178497349349609,0.021480096937831816,0.12466587883629353,0.12303220654786091,0.0077707906730127094,6984
附件1,-196.3817014517301,-0.005254220694235978,0.0220151149217106,0.127781220594569,0.12610905629037178,0.008164020168318954,6984
附件1,-196.3317014517301,-0.005380787247492247,0.02254665418284496,0.13089761993706175,0.1291851652202871,0.008567093452593733,6983
附件1,-196.2817014517301,-0.005585516920456168,0.02305929052533706,0.13401611866117705,0.13226237156048312,0.008980160030503342,6983
附件1,-196.23170145173012,-0.005696175324064967,0.023577443557456668,0.13713088559476036,0.1353386034176007,0.009402439892001626,6982
